ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
hmon1264-2239	Hmong Njua	hmon1264	Hmong-Mien	Eurasia	22.5638	101.95	61	48	13	0	4	0	0	3.6923076923076925	c cʰ f h j k kʰ l m ⁿp ⁿpʰ n ⁿt ⁿts ⁿtsʰ ⁿtʰ ⁿtʃ ⁿtʃʰ p pʰ q qʰ s sʰ t ts tsʰ tʰ tʃ tʃʰ v ç ŋ ⁿk ⁿkʰ ɬ ɲ ⁿc ⁿcʰ ⁿʈʂ ⁿʈʂʰ ⁿq ⁿqʰ ʃ ʈʂ ʈʂʰ ʒ ʔ a ai̯ au̯ aɯ ã e i ĩ u ua ũ ɔ ɨ
east2328-2241	Eastern Mari	east2328	Uralic	Eurasia	55.8307	48.405	27	19	8	0	0	0	0	2.375	j k l̺ m n̺ p r s tɕ t̪̺ z ð̺ ŋ ɣ ɲ ʂ ʎ ʐ β a e i o u y̞ œ ɪ̈
east2337-2242	East Yugur	east2337	Mongolic-Khitan	Eurasia	37.9882	101.762	42	28	14	0	0	0	7	2.0	h j j̊ k kʰ l l̥ m n n̥ p pʰ q qʰ r s t ts tsʰ tʰ tʃ tʃʰ ŋ ɣ ʁ ʃ β χ a aː e eː u uː y yː ɔ ɔː ə əː ɵ ɵː
moks1248-2243	Moksha	moks1248	Uralic	Eurasia	54.1855	42.6728	40	33	7	0	0	0	0	4.714285714285714	b dʲ d̪ f j k lʲ m nʲ n̪ p sʲ s̪ tsʲ tɕ tʲ t̪ ts̪ v x zʲ z̪ ɕ g lˠ ɬʲ ɬˠ ɾ ɾʲ ɾ̥ ɾ̥ʲ ʂ ʐ ä e̞ i o̞ u æ ə̆
lith1251-2244	Lithuanian	lith1251	Indo-European	Eurasia	55.1429	23.9601	60	45	15	0	2	0	6	3.0	b bʲ dzʲ dʲ dʒ dʒʲ d̪ dz̪ f fʲ j k kʲ lʲ m mʲ nʲ n̪ p pʲ r rʲ sʲ s̪ tsʲ tʲ tʃ tʃʲ t̪ ts̪ v vʲ x xʲ zʲ z̪ g gʲ ɣ ɣʲ lˠ ʃ ʃʲ ʒ ʒʲ äː eː iə iː oː uə uː æː ɐ ɔ ɛ ɪ ɪ̯ ʊ ʊ̯
moks1248-2245	Moksha	moks1248	Uralic	Eurasia	54.1855	42.6728	41	35	6	0	0	0	0	5.833333333333333	b dʲ d̪ f j k lʲ m nʲ n̪ p sʲ s̪ tsʲ tɕ tʲ t̪ ts̪ v x zʲ z̪ ɕ g lˠ ɬʲ ɬˠ ɾ ɾʲ ɾ̥ ɾ̥ʲ ʂ ʈʂ ʐ ʑ ä e̞ i o̞ u ə̆
laoo1244-2246	Lao	laoo1244	Tai-Kadai	Eurasia	19.0	102.46	42	21	21	0	3	0	9	1.0	b c d f h j k kʰ l m n p pʰ s t tʰ v w ŋ ɲ ʔ a aː e eː i ia iː o oː u ua uː ɔ ɔː ə əː ɛ ɛː ɯ ɯa ɯː
rajb1243-2247	Rajbanshi	rajb1243	Indo-European	Eurasia	26.521945	88.038582	43	34	9	0	1	0	0	3.7777777777777777	b bʱ dz dzʱ d̪ d̪ʱ d̺ d̺ʱ h j k kʰ l lʱ m mʱ n̪ n̪ʱ p pʰ r rʱ s ts tsʰ t̪ t̪ʰ t̺ t̺ʰ w ŋ ŋʱ g gʱ e ẽ i o u ũĩ æ æ̃ ʌ
esto1258-2248	Estonian	esto1258	Uralic	Eurasia	58.55	25.82	26	17	9	0	0	0	0	1.8888888888888888	f h j k l lʲ m n nʲ p r sʲ s̪ tʲ t̪ ʃ ʋ e i o u y æ ø ɑ ɤ
bakh1245-2249	Bakhtiari	bakh1245	Indo-European	Eurasia	32.0163	49.7713	36	24	12	0	6	0	3	2.0	b d dʒ f h j kʲʰ l m n pʰ qʰ s tʰ tʃʰ v z ɹ̪ gʲ ɢ ɾ ʃ ʒ χ a au̯ eːi̯ iː oːu̯ uː æi̯ ɑː ɑːi̯ ɔ ɔi̯ ɛ
cent1972-2250	Central Kurdish	cent1972	Indo-European	Eurasia	35.6539	45.8077	39	31	8	0	0	0	5	3.875	b dʒ d̪ f h j k l̪ m n̪ p q r̪ sˤ s̪ tʃ t̪ v w x z̪ ħ ŋ g ɣ l̪ˠ ɾ̪ ʃ ʒ ʔ ʕ äː eː iː oː uː ə ɯ̽ ʊ
ingu1240-2251	Ingush	ingu1240	Nakh-Daghestanian	Eurasia	43.11	45.03	69	52	17	0	4	3	3	3.0588235294117645	b bˤ d̪ d̪ˤ f h j kʰ kʲʰ kʼʲ kʼ l̪ m mˤ n nˤ pʰ pʼ pˤʰ qʰ qʼ qː r̺̥ s sː tsʰ tsʼ tsˤʰ tʃʰ tʃʼ tʃˤʰ tʃʼˤ t̪ʰ t̪ʼ t̪ː t̪ˤʰ t̪ʼˤ v vˤ x̠ z zˤ g gʲ ɾ̺ ʁ ʃ ʒ ʒˤ ʔ ʜ ʡ a aː i iː iːɛ o u uː uːʌ æ ɔaː ɛ ɛ̯æː ɨ ɪ ʊ ʌ
stan1293-2252	English	stan1293	Indo-European	Eurasia	53.0	-1.0	44	24	20	0	8	0	5	1.2	b d dʒ f h j kʰ l m n pʰ s tʰ tʃ v w z ð ŋ g ɹ ʃ ʒ θ aɪ aʊ e eə eɪ iː uː æ ɑː ɒ ɔɪ ɔː ə əʊ ɜː ɪ ɪə ʊ ʊə ʌ
