ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
bura1267-2629	Burarra	bura1267	Maningrida	Australia	-12.3061	134.365	26	21	5	0	0	0	0	4.2	j k͈ k̚ l m n p͈ p̚ r t͈ t̚ w ŋ ȵ ȶ͈ ȶ̚ ɭ ɳ ɻ ʈ͈ ʈ̚ a e i o u
buna1275-2630	Bunaba	buna1275	Bunaban	Australia	-17.8297	125.631	23	19	4	0	0	0	1	4.75	j k l m n n̪ p r t t̪ w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ a aː i u
goon1238-2631	Gooniyandi	goon1238	Bunaban	Australia	-18.4073	126.351	23	19	4	0	0	0	1	4.75	j k l m n n̪ p r t t̪ w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ a aː i u
madn1237-2632	Madngele	madn1237	Eastern Daly	Australia	-13.9479	130.6	22	17	5	0	0	0	0	3.4	j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ a e i u ʉ
mull1237-2633	Mullukmulluk	mull1237	Northern Daly	Australia	-13.427	130.664	19	14	5	0	0	0	0	2.8	j k l̺ m n̺ p r̺ t̺ w ŋ ȴ ȵ ȶ ɹ̺ a e i u ə
murr1259-2634	Murrinhpatha	murr1259	Southern Daly	Australia	-14.74852	129.70152	28	24	4	0	0	0	0	6.0	j k͈ k̚ l m n n̪ p͈ p̚ r t̪͈ t̪̚ t͈ t̚ w ŋ ȵ ȶ͈ ȶ̚ ɭ ɳ ɻ ʈ͈ ʈ̚ a e i u
nang1259-2635	Nangikurrunggurr	nang1259	Southern Daly	Australia	-14.268	131.237	23	19	4	0	0	0	0	4.75	j k͈ l̺ m n̺ p͈ p̚ r̺ t̺͈ t̺̚ w x z̺ ŋ ȵ ȶ͈ ɕ ɸ ɹ̺ a e i u
wadj1254-2636	Wadjiginy	wadj1254		Australia	-12.8596	130.737	22	17	5	0	0	0	0	3.4	j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ a e i u ø
mari1417-2637	Marimanindji	mari1417	Western Daly	Australia	-14.1788	130.561	20	16	4	0	0	0	0	4.0	j k l m n p r t w ŋ ȵ ȶ ɭ ɳ ɻ ʈ a e i u
mari1419-2638	Maringarr	mari1419	Western Daly	Australia	-14.3819	130.25	32	28	4	0	0	0	0	7.0	j k͈ k̚ l l̪ m n n̪ p͈ p̚ r t̪͈ t͈ t̚ w ð ŋ ȵ ȶ͈ ȶ̚ ɭ ɳ ɻ ʈ͈ ʈ̚ ʐ ʑ β a e i u
mari1424-2639	Marithiel	mari1424	Western Daly	Australia	-13.8818	130.237	24	20	4	0	0	0	0	5.0	j k͈ k̚ l m n p͈ p̚ r t̪̚ t͈ t̚ w ŋ ȵ ȶ͈ ȶ̚ ɸ ɻ ʈ̚ a e i u
mart1254-2640	Marti Ke	mart1254	Western Daly	Australia	-14.0058	129.837	31	27	4	0	0	0	0	6.75	j k͈ k̚ l m n n̪ p͈ p̚ r t̪͈ t͈ t̚ w ð ŋ ȵ ȶ͈ ȶ̚ ɭ ɳ ɻ ʈ͈ ʈ̚ ʐ ʑ β a e i u
amii1238-2641	Ami	amii1238	Western Daly	Australia	-13.5573	130.04	32	27	5	0	0	0	0	5.4	j k͈ k̚ l l̪ m n n̪ p͈ p̚ r t̪͈ t̪̚ t͈ t̚ w ŋ ȴ ȵ ȶ͈ ȶ̚ ɳ ɻ ʈ͈ ʈ̚ ʐ β a e i u ɵ
lara1258-2642	Laragia	lara1258		Australia	-12.4111	130.922	24	18	6	0	0	0	0	3.0	j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ β a e i o u ə
nucl1327-2643	Limilngan	nucl1327	Limilngan-Wulna	Australia	-12.4294	131.845	25	22	3	0	0	0	0	7.333333333333333	j k͈ k̚ l m n p͈ p̚ r t͈ t̚ w ŋ ȴ ȵ ȶ͈ ȶ̚ ɭ ɳ ɻ ʈ͈ ʈ̚ a i u
umbu1235-2644	Umbugarla	umbu1235		Australia	-12.9325	131.825	25	17	8	0	0	0	3	2.125	j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ a aː e i iː o u uː
gara1269-2645	Garrwa	gara1269	Garrwan	Australia	-17.4504	137.72014	17	14	3	0	0	0	0	4.666666666666667	j k l̺ m n̺ p r̺ t̺ w ŋ ȴ ȵ ȶ ɹ̺ a i u
wany1247-2646	Wanyi	wany1247	Garrwan	Australia	-18.6529	137.608	20	14	6	0	0	0	3	2.3333333333333335	j k l̺ m n̺ p r̺ t̺ w ŋ ȴ ȵ ȶ ɹ̺ a aː i iː u uː
gara1269-2647	Garrwa	gara1269	Garrwan	Australia	-17.4504	137.72014	17	14	3	0	0	0	0	4.666666666666667	j k l̺ m n̺ p r̺ t̺ w ŋ ȴ ȵ ȶ ɹ̺ a i u
erre1238-2648	Erre	erre1238	Giimbiyu	Australia	-12.2839	132.868	23	18	5	0	0	0	0	3.6	j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɰ ɳ ɻ ʈ a e i u ø
mang1382-2649	Mangerr	mang1382	Giimbiyu	Australia	-12.2391	132.973	23	18	5	0	0	0	0	3.6	j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɰ ɳ ɻ ʈ a e i u ø
urni1239-2650	Urningangg	urni1239	Giimbiyu	Australia	-13.4766	133.023	23	18	5	0	0	0	0	3.6	j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɰ ɳ ɻ ʈ a e i u ø
anin1240-2651	Anindilyakwa	anin1240	Gunwinyguan	Australia	-13.99904	136.6415	26	22	4	0	0	0	0	5.5	j k kʷ l l̪ m n n̪ p r t t̪ w ŋ ŋʷ ȴ ȵ ȶ ɭ ɳ ɻ ʈ a e i ə
ngal1292-2652	Ngalkbun	ngal1292	Gunwinyguan	Australia	-13.9783	133.936	29	23	6	0	0	0	0	3.8333333333333335	h j k͈ k̚ l m n p͈ p̚ r t͈ t̚ w ŋ ȵ ȶ͈ ȶ̚ ɭ ɳ ɻ ʈ͈ ʈ̚ ʔ a e i o u ɨ
gaga1251-2653	Gaagudju	gaga1251		Australia	-12.5176	132.643	27	17	10	0	0	0	5	1.7	j k l m n p r t w ŋ ȴ ȵ ȶ ɭ ɳ ɻ ʈ a aː e eː i iː o oː u uː
ngal1293-2654	Ngalakgan	ngal1293	Gunwinyguan	Australia	-14.4281	134.716	27	22	5	0	0	0	0	4.4	j k͈ k̚ l m n p͈ p̚ r t͈ t̚ w ŋ ȵ ȶ͈ ȶ̚ ɭ ɳ ɻ ʈ͈ ʈ̚ ʔ a e i o u
