ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
adam1253-1241	Adamawa Fulfulde	adam1253	Atlantic-Congo	Africa	8.140326	13.077338	47	37	10	0	0	10	5	3.7	b bː d dː dʒ f h j k kː l lː m ⁿb mː n ⁿd nː ⁿdʒ q r s t tʃ tʃː w ŋ ⁿg ɓ ɓː ɗ ɗː g gː ɲ ʒ ʔʲ a aː e eː i iː o oː u uː
anyi1245-1242	Anyin	anyi1245	Atlantic-Congo	Africa	6.31781	-3.30532	35	19	16	0	0	0	0	1.1875	b c d f h j k kp l m n p s t w ɟ g gb ɥ a ã e i ĩ o u ũ ɔ ɛ ɪ ɪ̃ ʊ ʊ̃ ʌ ʌ̃
anyi1245-1243	Anyin	anyi1245	Atlantic-Congo	Africa	6.31781	-3.30532	31	17	14	0	0	0	0	1.2142857142857142	b c d f h j k m n p r s t w ɟ g ʃ a ã e i ĩ o u ũ ɔ ɛ ɪ ɪ̃ ʊ ʊ̃
anyi1244-1244	Anyin Morofo	anyi1244	Atlantic-Congo	Africa	6.1627	-4.64232	45	31	14	0	0	3	0	2.2142857142857144	b c d f h j k kp m ⁿb mː n ⁿd ⁿz nː p s t v w z ⁿgb ⁿg ɟ g gb ɥ ⁿv ɲ ⁿɟ ɲː a ã e i ĩ o u ũ ɔ ɛ ɪ ɪ̃ ʊ ʊ̃
akan1250-1245	Akan	akan1250	Atlantic-Congo	Africa	6.34756	-1.33254	58	28	30	0	0	0	10	0.9333333333333333	b d dz dʑ dʑᶣ f h kʷ l m n p r s sᶣ t ts tɕ tɕᶣ w ŋ ŋʷ ɕ ɕᶣ gʷ ɥ ɲ ɲᶣ a aː ã e eː ẽ i iː ĩ o oː õ u uː ũ æ æː æ̃ ɔ ɔː ɔ̃ ɛ ɛː ɛ̃ ɪ ɪː ɪ̃ ʊ ʊː ʊ̃
anuf1239-1246	Anufo	anuf1239	Atlantic-Congo	Africa	10.2839	0.56021	57	45	12	0	0	0	0	3.75	b bʲ bʷ c cʲ d dʲ f fʲ fʷ h j k kp kpʲ kʷ l lᶣ m mʲ n p pʲ pʷ r s t tʲ w z ŋ ŋm ŋmʲ ɕᶣ ɟ ɟʲ g gb gbʲ gʷ ɥ ɥ̥ ɲ ʃ ʑᶣ a ã e i ĩ o u ũ ɔ ɔ̃ ɛ ɛ̃
dibo1245-1247	Dibole	dibo1245	Atlantic-Congo	Africa	1.07773	17.2305	27	21	6	0	0	0	0	3.5	b dz h j k l m ⁿb ⁿp n ⁿdz ⁿs ⁿt ⁿts p s t ts w ⁿk ⁿg a e i u ɔ ɛ
bana1305-1248	Bana	bana1305	Afro-Asiatic	Africa	10.3535	13.6131	40	37	3	0	0	0	0	12.333333333333334	b d dz f j k kʷ m ⁿb n ⁿd ⁿdz p s t ts v w z ŋ ⁿg ⁿgʷ ŋʷ ɓ ɗ g gʷ ɬ ɮ ɾ ʁ ʁʷ ʔ ʔʷ χ χʷ ⱱ ə ɛ ɨ
baka1274-1249	Baka (Sudan)	baka1274	Central Sudanic	Africa	4.65943	29.59	46	36	10	0	0	0	0	3.6	b bʳ d dʑ f h j k kp l m n p r s t ts tɕ v w x ħ ŋ ɓ ɖ ɗ g gb ɣ ɲ ɾ ʃ ʒ ʕ θ ⱱ a e i o u ɐ ɔ ɛ ɪ ʊ
ajas1235-1250	Aja (Sudan)	ajas1235	Kresh-Aja	Africa	8.58003	25.6122	48	38	10	0	0	0	0	3.8	b c d dʑ f h j k kp l m n p r s t ts tɕ v w x ħ ŋ ɓ ɖ ɗ ɟ g gb ɣ ɲ ɾ ʃ ʈ ʒ ʕ θ ⱱ a e i o u ɐ ɔ ɛ ɪ ʊ
bila1255-1251	Bila	bila1255	Atlantic-Congo	Africa	1.16839	28.7626	28	19	9	0	0	0	0	2.111111111111111	h j k kp l ⁿb ⁿd ⁿdʒ p s t tʃ w ⁿgb ⁿg ɓ ɗ ɲ ɸ a e i o u ɔ ɛ ɪ ʊ
busa1253-1252	Busa	busa1253	Mande	Africa	9.91074	4.39929	28	16	12	0	0	0	0	1.3333333333333333	b d f j k kp m n p s t v w z g gb a ã e i ĩ o u ũ ɔ ɔ̃ ɛ ɛ̃
adam1253-1253	Adamawa Fulfulde	adam1253	Atlantic-Congo	Africa	8.140326	13.077338	39	29	10	0	0	0	5	2.9	b d dʒ f h j k l m ⁿb n ⁿd ⁿdʒ p q r s t tʃ v w ŋ ⁿg ɓ ɗ g ɲ ʔ ʔʲ a aː e eː i iː o oː u uː
nige1253-1254	Hausa States Fulfulde	nige1253	Atlantic-Congo	Africa	10.9972	11.1188	57	47	10	0	0	20	5	4.7	b bː d dː dʒ dʒː f h j k kː l lː m ⁿb ⁿbː mː n ⁿd ⁿdː nː ⁿdʒ p pː r rː s t tː tʃ tʃː w ŋ ⁿg ⁿgː ŋː ɓ ɓː ɗ ɗː g gː ɲ ɲː ʔ ʔʲ ʔʲː a eː iː oː uː ɑː ɔ ɛ ɪ ʊ
here1253-1255	Herero	here1253	Atlantic-Congo	Africa	-21.0231	20.5655	24	19	5	0	0	0	0	3.8	h j k ⁿb n ⁿdʑ ⁿd̪ n̪ p t t̪ v w ð ⁿg ɕ ɲ ɾ θ a e i o u
ceba1235-1256	Senari	ceba1235	Atlantic-Congo	Africa	9.50768	-6.15264	35	22	13	0	0	0	5	1.6923076923076923	b d dʒ f k kp l m n p r s t tʃ v z ŋ g gb ʃ ʒ ʔ a aː ã ãː e o ɔ ɔː ɔ̃ ɔ̃ː ɛ ɛː ɛ̃
koyr1240-1257	Koyra Chiini Songhay	koyr1240	Songhay	Africa	16.192	-3.73962	37	23	14	0	0	0	7	1.6428571428571428	b d f h j̃ k l m n p r s t tʃ w z ŋ ŋʷ g gᶣ ɲ ʃ ʔ a aː e eː i iː o oː u uː ɔ ɔː ɛ ɛː
bafi1243-1258	Bafia	bafi1243	Atlantic-Congo	Africa	4.72603	11.0982	43	25	18	0	0	0	7	1.3888888888888888	b d dʒ f j k kp l m n p r s t tʃ v w z ŋ ɓ ɗ g gb ɣ ɲ a aː e eː i iː o oː u uː ɑ ɔ ɔː ə ɛ ɛː ɨ ʌ
limb1268-1260	Limbum	limb1268	Atlantic-Congo	Africa	6.58608	10.9802	52	37	15	0	0	0	6	2.466666666666667	b d dz dʒ f h j k kʷ l m ⁿb n ⁿd ⁿl ⁿr ⁿt r s t ts tʃ v w z ŋ ⁿkʷ ⁿgʷ ŋʷ g gʷ ɣ ⁿf ɲ ʃ ʒ ʔ a aː i iː u uː ũ ɔ ɔː ɛ ɛː ɛ̃ ɨ ɨː ɨ̃
limb1268-1261	Limbum	limb1268	Atlantic-Congo	Africa	6.58608	10.9802	41	23	18	0	0	0	7	1.2777777777777777	b d dʒ f h j k l m n r s t tʃ v w ŋ g ɣ ɲ ʃ ʒ ʔ a aː e eː iː o oː u uː ũ ɔ ɔː ɔ̃ ɛ ɛː ɛ̃ ɨ ɨ̃
limb1268-1262	Limbum	limb1268	Atlantic-Congo	Africa	6.58608	10.9802	33	23	10	0	0	0	5	2.3	b d dʒ f h j k l m n r s t tʃ v w ŋ g ɣ ɲ ʃ ʒ ʔ a aː e eː i iː o oː u uː
myen1241-1263	Myene	myen1241	Atlantic-Congo	Africa	-1.48741	9.50247	36	29	7	0	0	0	0	4.142857142857143	dʒ f j k l m ⁿb ⁿp n ⁿd ⁿt ⁿdʒ ⁿtʃ p r s t tʃ w z ŋ ⁿk ⁿg ɓ ɗ g ɲ ʙ β a e i o u ɔ ɛ
ntch1242-1264	Ntcham	ntch1242	Atlantic-Congo	Africa	9.23971	0.599275	40	21	19	0	0	0	12	1.105263157894737	b c d f j k kp l m n p s t w ŋ ŋm ɟ g gb ɱ ɲ a aː ãː e eː ẽː i iː ĩ ĩː o oː õː u uː ũː ɔ ɔː ɔ̃ː
tune1261-1265	Tunen	tune1261	Atlantic-Congo	Africa	4.75	10.67	24	17	7	0	0	0	0	2.4285714285714284	b f j k l m ⁿb n ⁿd ⁿdʒ s t w x ŋ ⁿg ɲ a i o u ɔ ə ɛ
