ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
kore1280-1	Korean	kore1280	Koreanic	Eurasia	37.5	128.0	40	22	18	0	0	0	8	1.2222222222222223	h j k kʰ kˀ l m n p pʰ pˀ s sˀ t tʰ tˀ tʃ tʃʰ tʃˀ w ŋ ʔ a aː e eː i iː o oː u uː y æ æː ø ɤ ɤː ɯ ɯː
kett1243-2	Ket	kett1243	Yeniseian	Eurasia	63.7551	87.5466	32	18	14	0	0	0	7	1.2857142857142858	b d dʲ h k̟ lʲ lˠ m n nʲ q s sʲ t tʲ ŋ ʔ ʝ a aː i iː uː æ æː ɔ ɔː ɨ ɨː ɵ̞ ɵ̞ː ʊ
lakk1252-3	Lak	lakk1252	Nakh-Daghestanian	Eurasia	42.1328	47.0809	69	60	9	0	0	0	3	6.666666666666667	b d h j kʰ kʷʰ kʼʷ kʼ k͈ k͈ʷ l m n pʰ pʼ p͈ qʰ qʷʰ qʼʷ qʼ q͈ q͈ʷ r s s͈ tsʰ tsʷʰ tsʼʷ tsʼ tʰ tʼ tʃʰ tʃʷʰ tʃʼʷ tʃʼ tʃ͈ tʃ͈ʷ t͈ ts͈ ts͈ʷ w x xʷ x͈ x͈ʷ z ħ g ɢ ɢʷ ʃ ʃʷ ʃ͈ ʃ͈ʷ ʒ ʔ χ χʷ χ͈ χ͈ʷ a aː e̞ˤ i iː u uː æˤ ø̞ˤ
nucl1302-5	Georgian	nucl1302	Kartvelian	Eurasia	41.850397	43.78613	35	29	6	0	0	0	0	4.833333333333333	h j k kʰ kʼ lˠ m n p pʰ pʼ qʼ r s t ts tsʰ tsʼ tʰ tʼ tʃ tʃʰ tʃʼ z ʁ ʃ ʒ β χ a̟ e̞ o̞ ə̆ ɪ ʊ
buru1296-6	Burushaski	buru1296		Eurasia	36.2161	74.8236	50	38	12	0	0	0	7	3.1666666666666665	b d dʒ f h j k kʰ l m n p pʰ q qʰ r s t ts tsʰ tʰ tʃ tʃʰ w z ŋ ɖ ɖʐ g ʁ ʂ ʃ ʈ ʈʂ ʈʂʰ ʈʰ ɻ̝ χ a aː ãː e̞ e̞ː i iː o̞ o̞ː u uː ũː
kuru1302-7	Kurukh	kuru1302	Dravidian	Eurasia	24.4644	86.4657	68	46	22	0	0	13	11	2.090909090909091	b bʱ dʒ dʒː dʒʱ d̪ d̪ː d̪ʱ h j jː k kʰ kː l lː m n̪ p pʰ pː r rː r̠ s̪ s̪ː tʃ tʃʰ tʃː t̪ t̪ʰ t̪ː w wː ŋ ɖ ɖː ɖʱ g gʱ ɳ ʈ ʈʰ ʈː ʔ χ a aː ã ãː e̞ e̞ː ẽ̞ ẽ̞ː i iː ĩ ĩː o̞ o̞ː õ̞ õ̞ː u uː ũ ũː ə əː
telu1262-8	Telugu	telu1262	Dravidian	Eurasia	16.4529	78.7024	68	47	21	0	0	16	11	2.238095238095238	b bː bʱ d dz dzː dː dʱ f j k kʰ kː l lː m mː n nː p pʰ pː rː s t ts tsː tː tʃ ɖ ɖː ɖʱ g gː gʱ ɦ ɭ ɭː ɳ ɾ ʂ ʃ ʈ ʈʰ ʈː β̞ β̞ː aː e eː i iː o oː o̞ u uː æː ɑ ɒː ɔː ə ɛ ɛː ɪ ɪː ʊ ʊː
kota1263-9	Kota (India)	kota1263	Dravidian	Eurasia	11.4978	76.9387	34	23	11	0	0	0	5	2.090909090909091	b d dʒ d̪ j kʰ l m n pʰ r tʰ tʃʰ t̪ʰ v ŋ ɖ g ɭ ɳ ɽ ʂ ʈʰ a aː e̞ e̞ː i iː o̞ o̞ː u uː ə
mund1320-10	Mundari	mund1320	Austroasiatic	Eurasia	23.03	85.85	37	32	5	0	0	1	0	6.4	bʱ dʒʱ dʱ h j k kʰ l m n p pʰ r s t tʰ tʃ tʃʰ w ŋː ɖʱ gʱ ɭ ɳ ʈ ʈʰ ʔ ˀb ˀd ˀdʒ ˀɖ ˀg a e̞ o̞ ɪ ʊ
khar1287-11	Kharia	khar1287	Austroasiatic	Eurasia	22.3571	84.3922	41	31	10	0	0	0	0	3.1	b bʱ d dʒ dʒʱ dʱ j k kʰ l m n p pʰ s t tʰ tʃ tʃʰ w ŋ ɖ ɖʱ g gʱ ɦ ɲ ɽ ɾ ʈ ʈʰ a ã e i ĩ o õ u ũ ɛ̃
