ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
amha1245-2156	Amharic	amha1245	Afro-Asiatic	Africa	11.708182	39.543456	68	61	7	0	0	29	0	8.714285714285714	b bʷ bʷː bː d dː dʒ dʒː f fʷ fʷː fː h hː j jː k kʷ kʼʷ kʼʷː kʷː kː l lː m mʷ mʷː mː n nː p pʼʷ pʼ pʼː r rː s sː t tʼ tʼː tː tʃ tʃʼ tʃʼː tʃː w wː z zː ŋ ŋː g gʷ gʷː gː ɲ ʃ ʃː ʒ ʒː a e i o u ə ɨ
stan1318-2157	Standard Arabic	stan1318	Afro-Asiatic	Eurasia	27.9625	43.8525	37	29	8	0	2	0	3	3.625	b d̙ˤ d̪ dʒ f h j kʰ l lˤ m n̪ q r s s̙ˤ t̪ʰ t̪̙ˤ w xʀ̥ z ð ð̙ˤ ħ ɣ ʃ ʔ ʕ̙ θ a ai au aː i i̯ː u u̯ː
east2379-2158	Eastern Arrernte	east2379	Pama-Nyungan	Australia	-23.3583	135.046	31	27	4	0	0	0	0	6.75	bⁿ dⁿ d̪ⁿ j k kⁿ l lʲ l̪ m n n̪ p t tʲ t̪ w ŋ ȵ ȶⁿ ɖⁿ ɭ ɰ ɳ ɻ ɾ ʈ a i u ə
assa1263-2159	Assamese	assa1263	Indo-European	Eurasia	26.0876	91.2932	33	23	10	0	0	0	0	2.3	b bʱ d dʱ h j k kʰ l m n p pʰ s t tʰ w x z ŋ g gʱ ɹ i o u ɑ ɑ̃ ɔ ə ɛ ʊ ʊ̃
bard1255-2160	Bardi	bard1255	Nyulnyulan	Australia	-16.6274	122.906	25	18	7	0	0	0	3	2.5714285714285716	c̻ j j̻ k l m n p r t w ŋ ɭ̺ ɲ̻ ɳ̺ ɻ̺ ʈ̺ ʎ̻ a aː i iː o u uː
basq1248-2161	Basque	basq1248		Eurasia	43.2787	-1.31622	33	23	10	0	5	0	0	2.3	b c d̪ f j k l m n p r s̪̻ s̺ tʃ t̪ ts̪̻ ts̺ x g ɲ ɾ ʃ ʎ a ai̯ au̯ e ei̯ eu̯ i o oi̯ u
beng1280-2162	Bengali	beng1280	Indo-European	Eurasia	24.0	90.0	72	49	23	0	15	21	1	2.130434782608696	b bʱ bʱː bː d dʑ dʑʱ dʑʱː dʑː dʱ dː d̪ d̪ʱ d̪ʱː d̪ː f h k kʰ kʰː kː l lː m mː n nː p pː s t tɕ tɕʰ tɕʰː tɕː tʰ tʰː tː t̪ t̪ʰ t̪ʰː t̪ː ŋ g gʱ gː ɹ ʃ ʃː a ae ai ao au e ei eu i iu o oe oi oː ou u ui ɔ ɔe ɔo ɛ ɛe ɛo
bulg1262-2163	Bulgarian	bulg1262	Indo-European	Eurasia	43.3646	25.047	30	23	7	0	0	0	0	3.2857142857142856	b d̟ dz̟ dʒ̟ f j k l̟ m n p r̟ s̟ t̟ ts̟ tʃ̟ v x z̟ g ɣ ʃ ʒ a i o u ɐ ɔ ɛ
yuec1235-2166	Yue Chinese	yuec1235	Sino-Tibetan	Eurasia	23.0	113.0	42	21	21	0	10	0	0	1.0	f h j k kʰ kʷ kʷʰ l m n p pʰ r s t ts tsʰ tʰ w ŋ β aːĭ aːŭ a̞ ei i iːŭ ou u uːĭ y œ̞ ɐ ɐi ɐu ɔːĭ ɔ̽ ɛ ɪ̞ ɵ ɵy ʊ̟
dani1285-2167	Danish	dani1285	Indo-European	Eurasia	54.8655	9.36284	69	20	49	0	34	0	0	0.40816326530612246	b̥ b̥ʰ d̥ dz̥ f h j l m n r s w ɹ̪ ŋ ɕ g̊ g̊ʰ ʁ̞ ʋ a e eu̯ eʌ̯ i iu̯ iʌ̯ i̯a i̯e i̯o i̯u i̯y i̯æ i̯ø i̯œ i̯œ̞ i̯ɑ i̯ɒ i̯ɔ i̯ɛ i̯ʌ o oʌ̯ u ui̯ uʌ̯ y yu̯ yʌ̯ æ æu̯ æʌ̯ ø øu̯ øʌ̯ œ œi̯ œu̯ œ̞ œ̞ʌ̯ ɑ ɑi̯ ɑu̯ ɒ ɒu̯ ɔ ɛ ɛu̯ ʌ
