ID	Name	Glottocode	Family	Macroarea	Latitude	Longitude	Sounds	Consonants	Vowels	Clusters	Diphthongs	LongConsonants	LongVowels	Ratio	Phonemes
amarasi	Amarasi	amar1273	Austronesian	Papunesia	-10.21751	123.96373	18	13	5	0	0	0	0	2.6	p b t dʒ k g ʔ f s h m n r i ɛ a ɔ u
americanenglishsouthernmichigan	American English: Southern Michigan	nort3317	Indo-European	Eurasia			39	24	15	0	3	0	0	1.6	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h ɹ j w l i ɪ e æ ɛ ɑ ɔ ʌ o ʊ u ə˞ ɔɪ aɪ aʊ
amharic	Amharic	amha1245	Afro-Asiatic	Africa	11.708182	39.543456	73	66	7	0	0	30	0	9.428571428571429	p b t d k g tʃ dʒ bʷ kʷ gʷ m n ɲ ŋ mʷ f s z ʃ ʒ h fʷ r j w l pʼ tʼ kʼ tʃʼ pʼʷ kʼʷ tʼʷ hʷ sʼ bː tː dː tʃː dʒː kː gː bʷː kʷː gʷː mː nː ɲː ŋː mʷː fː sː zː ʃː ʒː fʷː rː wː jː lː pʼː tʼː tʃʼː kʼʷː sʷː i e ə a u o ɨ
arabic	Arabic	stan1318	Afro-Asiatic	Eurasia	27.9625	43.8525	37	29	8	0	2	0	3	3.625	b t d k q ʔ m n r f θ ð s z ʃ x ɣ ħ ʕ h j w l tˤ dˤ sˤ ðˤ lˤ dʒ i a aː u iː au au̯ u̯ː
assamese	Assamese	assa1263	Indo-European	Eurasia	26.0876	91.2932	31	23	8	0	0	0	0	2.875	p b pʰ bʰ t d tʰ dʰ k g kʰ gʰ m n ŋ s z x h ɹ j w l i e ɛ ɑ ɔ o ʊ u
australianenglish	Australian English	aust1314	Indo-European	Eurasia			43	24	19	0	6	0	6	1.263157894736842	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h ɹ j w l iː ɪ e æ ɐː ɐ ɔ oː ʊ ʉː ɜː æɪ ɑe æɔ əʉ oɪ ɪə eː ə
azerbaijani	Azerbaijani	nort2697	Turkic	Eurasia	40.9777	46.4737	35	26	9	0	0	0	0	2.888888888888889	p b t d c ɟ k g ts dz tʃ dʒ m n ɾ f v s z ʃ ʒ x ɣ h l j i y u ɯ e œ o æ ɑ
bardi	Bardi	bard1255	Nyulnyulan	Australia	-16.6274	122.906	24	17	7	0	0	0	3	2.4285714285714284	p t ʈ c k m n ɳ ɲ ŋ l ɭ ʎ r ɻ j w i iː a aː o u uː
basaa	Basaá	basa1284	Atlantic-Congo	Africa	3.80765	10.4213	44	30	14	0	0	0	7	2.142857142857143	p t k kʷ gʷ tʃ dʒ ɓ ⁿb ⁿd ⁿdʒ ⁿg m n ɲ ŋ ŋʷ ɾ̥ ɾ ɸ β s x ɣ χ h ɦ w j l i e a u o ɛ ɔ iː eː ɛː aː uː oː ɔː
basquewesterlownavarresedialect	Basque (Wester Low Navarrese dialect)	west1508	Basque	Eurasia			37	26	11	0	6	0	0	2.3636363636363638	p t c k pʰ tʰ kʰ b d ɟ g f s ʂ ʃ h ts ʈʂ tʃ m n ɲ l ʎ ɾ ʁ i e a o u ai ei oi ui au eu
belgianlimburgdialectofhamont	Belgian Limburg dialect of Hamont	limb1263	Indo-European	Eurasia	51.015	5.87705	55	22	33	0	9	0	13	0.6666666666666666	p b t d k m n ŋ ʀ f v s z ʃ ʒ x ɣ ɦ β̞ j l ʔ i y ɪ ɛ œ æ ɑ ɔ u ʏ iː yː eː øː ɛː œː æː aː ɑː ɔː oː uː ə ɪː ɛiː ɑuː ɔuː œyː iːə yːə uːə oːə ɔːə
bemba	Bemba	bemb1257	Atlantic-Congo	Africa	-10.6122	29.2993	36	26	10	0	0	0	5	2.6	p t k β f s ʃ tʃ ⁿp ⁿb ⁿt ⁿd ⁿk ⁿg ⁿf ⁿs ⁿʃ ⁿtʃ ⁿdʒ m n ɲ ŋ j w l i e a o u iː eː aː oː uː
bengalibangladeshistandard	Bengali (Bangladeshi Standard)	beng1280	Indo-European	Eurasia	24.0	90.0	79	56	23	0	15	28	1	2.4347826086956523	p b bʱ t̪ d̪ t̪ʰ d̪ʱ t d tʰ dʱ k g kʰ gʱ tɕ dʑ tɕʰ dʑʱ m n ŋ f s ʃ h ɹ l pː bː bʱː t̪ː d̪ː t̪ʰː d̪ʱː tː dː tʰː dʱː kː gː kʰː gʱː tɕː tɕʰː dʑː dʑʱː mː nː ŋː fː sː ʃː hː ɹː lː i e ɛ a ɔ o u iu̯ ei̯ eu̯ ɛe̯ ɛo̯ ai̯ ae̯ au̯ ao̯ ɔe̯ ɔo̯ oi̯ oe̯ ou̯ o̯ː ui̯
brazilianportuguese	Brazilian Portuguese	braz1246	Indo-European	Eurasia			35	19	16	0	0	0	0	1.1875	p b t d k g m n ɲ ɾ f v s z ʃ ʒ ɣ l ʎ i e ɛ a ɔ o u ɪ e̤ ɐ ʊ ĩ ẽ ɐ̃ õ ũ
bretontregerdialect	Breton (Treger dialect)	treg1244	Indo-European	Eurasia			34	20	14	0	0	2	0	1.4285714285714286	w l n t z g b p h r d ʒ f k v m ɲ nː lː s a e ɛ i ə ɵ y o ø œ ɔ ɑ̃ ɪ u
britishenglishreceivedpronunciation	British English: Received Pronunciation	stan1293	Indo-European	Eurasia	53.0	-1.0	46	24	22	0	8	0	5	1.0909090909090908	p b t d k g tʃ dʒ m n ŋ f v θ ð s z ʃ ʒ h w r j l ɪ e æ ʌ ɒ ʊ ə iː ɑː ɔː uː ɛː eɪ aɪ ɔi əʊ aʊ ɪə eə ʊə i u
bruneimalay	Brunei Malay	brun1243	Austronesian	Papunesia			21	18	3	0	0	0	0	6.0	p b t d k g tʃ dʒ s h m n ɲ ŋ r w j l i u a
bukharantajik	Bukharan Tajik	taji1245	Indo-European	Eurasia	38.8213	68.5549	29	23	6	0	0	0	0	3.8333333333333335	p b t d k g q m n ɾ f v s z ɕ ʑ χ ʁ h tɕ dʑ j l i e a ɵ o u
bulgarian	Bulgarian	bulg1262	Indo-European	Eurasia	43.3646	25.047	30	22	8	0	0	0	0	2.75	p b t d k g m n r f v s z ʃ ʒ x j l ts dz tʃ dʒ i ɛ a ɐ ɤ ɔ o u
burmese	Burmese	nucl1310	Sino-Tibetan	Eurasia	20.7926	93.9665	55	34	21	0	8	0	0	1.619047619047619	p pʰ b t tʰ d tʃ tʃʰ dʒ k kʰ g ʔ m̥ m n̥ n ɲ̊ ɲ ŋ̊ ŋ θ ð s sʰ z ʃ h ʍ w ɹ j ɬ l i e ɛ a ɔ o u ə ɪ ʊ eɪ aɪ aʊ oʊ ɪ̃ ã ʊ̃ eɪ̃ aɪ̃ aʊ̃ oʊ̃
bearnaisgascon	Béarnais (Gascon)	occi1239	Indo-European	Eurasia	44.1415	6.82979	37	25	12	0	0	0	0	2.0833333333333335	p b t d k g cç ɟʝ m n ɲ ŋ r ɾ f v s z ʃ ʒ h j w l ʎ i y e ɛ a ɔ u ĩ ỹ ẽ ã ũ
castilianspanish	Castilian Spanish	cast1244	Indo-European	Eurasia			32	19	13	0	8	0	0	1.4615384615384615	p b t d k g tʃ ɟʝ m n ɲ ɾ r f θ s x l ʎ i e a o u i̯e i̯a i̯o i̯u u̯i u̯e u̯a u̯o
catalan	Catalan	stan1289	Indo-European	Eurasia	41.453	1.569	31	24	7	0	0	0	0	3.4285714285714284	p b t d tʃ dʒ k g m n ɲ ŋ r ɾ f v s z ʃ ʒ j w l ʎ i e ɛ a o ɔ u
centralarrernte	Central Arrernte	east2379	Pama-Nyungan	Australia	-23.3583	135.046	52	48	4	0	0	0	0	12.0	p t̪ tʲ t ʈ k m n̪ nʲ n ɳ ŋ pⁿ t̪ⁿ tⁿʲ tⁿ ʈⁿ kⁿ l̪ lʲ l ɭ ɾ w j ɻ ɰ pʷ mʷ t̪ʷ l̪ʷ tʲʷ nʲʷ lʲʷ jʷ tʷ nʷ tⁿʷ lʷ ɾʷ ʈʷ ɳʷ ʈⁿʷ ɭʷ ɻʷ kʷ ŋʷ kⁿʷ i ə a u
centralsama	Central Sama	cent2092	Austronesian	Papunesia	7.004574	118.455978	41	30	11	0	0	13	5	2.727272727272727	p pː b bː t̪ t̪ː d dː dʒ dʒː k kː g gː ʔ m mː n nː ɲ ŋ ŋː s sː h w j jː l lː i e ə a u o iː eː aː oː uː
chicahuaxtlatriqui	Chicahuaxtla Triqui	chic1273	Otomanguean	North America	17.1628	-97.8547	42	31	11	0	0	5	0	2.8181818181818183	p b t̪ d̪ k g kʷ gʷ ʔ ⁿd ⁿg ts tɕ ʈʂ s z ʃ ʒ ʐ h m n mː nː j w jː wː j̃ l lː i e ə a ɯ u o ĩ ɯ̃ ũ ã
chikasaw	Chikasaw	chic1270	Muskogean	North America	34.0	-88.0	43	31	12	0	0	15	9	2.5833333333333335	p b t k ʔ tʃ f s ɬ ʃ h m n l j w pː bː tː kː tʃː fː sː ɬː ʃː hː mː nː lː jː wː i iˑ iː a aˑ aː o oˑ oː ĩː ãː õː
chinesehongkongcantonese	Chinese (Hong Kong Cantonese)	yuec1235	Sino-Tibetan	Eurasia	23.0	113.0	54	20	34	0	15	0	8	0.5882352941176471	p pʰ t tʰ k kʰ kʷ kʷʰ m n ŋ r f s h w j l ts tsʰ i iː y yː ɪ ɛ ɛː œ œː ɵ ɵː a aː ɐ ɔ ɔː u uː ʊ ai aːi ɐi au aːu ɐu ei ɵy ɔi ɔːi ui uːi iu iːu ou
cicipu	Cicipu	cici1237	Atlantic-Congo	Africa	11.0417	5.54073	82	54	28	0	4	27	12	1.9285714285714286	p b t d k g ʔ ʔʷ ʔʲ kʷ gʷ tʃ dʒ ɓ ɗ m n ɾ v s z h hʷ hʲ j w l pː bː tː dː kː gː ʔː ʔʷː ʔʲː kʷː gʷː tʃː dʒː ɓː ɗː mː nː ɾː vː sː zː hː hʷː hʲː jː wː lː a aː ã ãː e eː ẽ ẽː i iː ĩ ĩː o oː õ õː ɔ ɔː ɔ̃ ɔ̃ː u uː ũ ũː ai au ei eu
cocosmalay	Cocos Malay	coco1260	Austronesian	Papunesia	-12.193342	96.833679	25	19	6	0	0	0	0	3.1666666666666665	p b t̪ d tʃ dʒ k g ʔ m n ɲ ŋ s ʁ h w j l i e ə a o u
croatian	Croatian	croa1245	Indo-European	Eurasia	45.555	15.982	37	25	12	0	1	0	5	2.0833333333333335	p b t d k g ts tʃ dʒ tɕ dʑ m n ɲ f s z ʃ ʒ x r ʋ j l ʎ i e a o u iː eː aː oː uː ə ie
cypriotgreek	Cypriot Greek	cypr1249	Indo-European	Eurasia	34.924591	32.978113	23	18	5	0	0	0	0	3.6	p t k f v θ ð s z ʃ ʒ x ɣ tʃ m n ɾ l i ɛ ɐ ɔ u
czechspokeninbohemia	Czech spoken in Bohemia	cent1953	Indo-European	Eurasia			39	26	13	0	3	0	5	2.0	p b t d c ɟ k g ts tʃ dʒ m n ɲ f v s z ʃ ʒ x ɦ r r̝ j l iˑ ɪ ɛ ɛː a aː u uː o oː ou au ɛu
czechspokeninmoravia	Czech spoken in Moravia	czec1259	Indo-European	Eurasia			39	26	13	0	3	0	5	2.0	p b t d c ɟ k g ts tʃ dʒ m n ɲ f v s z ʃ ʒ x ɦ r r̝ j l iː i ɛ ɛː a aː u uː o oː ou au ɛu
czech	Czech	czec1258	Indo-European	Eurasia	49.873398	15.10437	39	26	13	0	3	0	5	2.0	p b t d c ɟ k g ʔ m n ɲ f v s z ʃ ʒ x ɦ ts tʃ r r̝ j l ɪ ɛ a o u iː ɛː aː oː uː ou au ɛu
danish	Danish	dani1285	Indo-European	Eurasia	54.8655	9.36284	47	24	23	0	0	0	6	1.0434782608695652	pʰ b̥ ts d̥ kʰ g̊ m mˤ n nˤ ŋ ŋˤ f v s ɕ h w ð ðˤ j ʁ l r i y e ɛ ø œ æ œ̞ a ɶ ɑ ʌ ɒ ɔ ɔː o oˤː u ə ɔˤː ɑˤː eˤː æˤː
dariafghanpersianformal	Dari Afghan Persian Formal	dari1249	Indo-European	Eurasia	31.0405	67.3593	35	23	12	0	4	0	0	1.9166666666666667	p b t d k g q m n f s z ʃ ʒ x ɣ h tʃ dʒ ɾ w j l i e ɛ ɐ ʌ ʊ o u ɐi ɐu ʌi ui
dariafghanpersianinformal	Dari Afghan Persian Informal	dari1249	Indo-European	Eurasia	31.0405	67.3593	35	23	12	0	4	0	0	1.9166666666666667	p b t d k g q m n f s z ʃ ʒ x ɣ h tʃ dʒ ɾ w j l i e ɛ ɐ ʌ ʊ o u ɐi ɐu ʌi ui
dutch	Dutch	dutc1256	Indo-European	Eurasia	52.0	5.0	42	20	22	0	3	0	10	0.9090909090909091	p b t d k ʔ m n ŋ f v s z ʒ χ ɦ ɾ ʋ j l ɪ ʏ ɛ ə ɑ ɔ i y eː øː aː oː u iː yː ɛː œː ɔː uː ɛi œy ʌu
ega	Ega	egaa1242	Atlantic-Congo	Africa	5.56081	-5.41732	36	27	9	0	0	0	0	3.0	p b t d c ɟ k g kp gb ɓ ɗ ʄ ɠ ɠɓ m n ɲ ŋ f v s z x j w l a i e o u ɪ ɛ ʊ ɔ
ersu	Ersu	ersu1241	Sino-Tibetan	Eurasia	29.2867	102.213	60	54	6	0	0	0	0	9.0	p pʰ b ⁿpʰ ⁿb t tʰ d ⁿtʰ ⁿd k kʰ g ⁿkʰ ⁿg ts̪ ts̪ʰ dz̪ ⁿts̪ʰ ⁿdz̪ ts̻ ts̻ʰ dz̻ ⁿts̻ʰ ⁿdz̻ tɕ tɕʰ dʑ ⁿtɕʰ ⁿdʑ ʈʳ ʈʳʰ ɖʳ ⁿʈʳʰ ⁿɖʳ ɽ m n ŋ f v s̪ z̪ s̻ z̻ ɕ ʑ x w j l ɬ i ɛ a o z̩ v̩ ə˞ a˞
standardestonian	Standard Estonian	esto1258	Uralic	Eurasia	58.55	25.82	95	25	70	0	36	8	25	0.35714285714285715	p t tʲ k m n nʲ r f v s ʃ sʲ h l lʲ j pː tː tʲː kː sː sʲː ʃː fː i iˑ iː iːː y yˑ yː yːː e eˑ eː eːː ø øˑ øː øːː æ æˑ æː æːː u uˑ uː uːː ɤ ɤˑ ɤː o oˑ oː oːː ɑ ɑˑ ɑː eɑ iɑ oɑ uɑ ɤɑ øɑ yɑ ɑe ie oe ue ɤe æe øe ye ɑi ei oi ui ɤi æi øi yi ɑo eo io uo ɤo æo yo ɑu eu iu ou ɤu æu
europeanportuguese	European Portuguese	port1283	Indo-European	Eurasia	39.91	-8.1	47	19	28	0	14	0	0	0.6785714285714286	p b t d k g m n ɲ f v s z ʃ ʒ ʁ ɾ l ʎ i e ɛ a ɔ o u ɐ ɯ ĩ ẽ ɐ̃ õ ũ ɛi ai ɐi ɔi oi ui iu eu ɛu au ɐ̃i õi ũi ɐ̃u
theflemishbrabantdialectoforsmaalgussenhoven	The Flemish-Brabant dialect of Orsmaal-Gussenhoven	brab1243	Indo-European	Eurasia			54	23	31	0	12	0	10	0.7419354838709677	p b t d k m n ŋ r f v s z ʃ ʒ x ɣ h β̞ j l tʲ kʲ ɪ ʏ ɛ œ ə a ɒ ɔ ʊ iː yː eː øː ɛː œː aː ɒː oː uː ei øy ɛɪ œʏ əʊ ɞʊ aɪ aʊ uɪ iə eə ɛə
french	French	stan1290	Indo-European	Eurasia	48.0	2.0	35	21	14	0	0	0	0	1.5	p b t d k g m n ɲ ŋ f v s z ʃ ʒ ʁ l j ɥ w i y e ø ɛ œ a ə ɔ o u ɛ̃ ɑ̃ ɔ̃
galician	Galician	gali1258	Indo-European	Eurasia	42.2446	-7.5343	29	21	8	0	0	0	0	2.625	p b t d ɟ k g tʃ m n ɲ ŋ r ɾ f θ s̺ ʃ j w l i e ɛ a ɔ o u ɑ
gayo	Gayo	gayo1244	Austronesian	Papunesia	4.3733	97.3456	27	19	8	0	0	0	0	2.375	p b t d k g ʔ s h tʃ dʒ j w m n ɲ ŋ r l i e ɛ ə u o ɔ a
northgerman	North German	stan1295	Indo-European	Eurasia	48.649	12.4676	41	22	19	0	3	0	2	1.1578947368421053	p b t d k g ʔ m n ŋ f v s z ʃ ʒ ç x ʁ h j l i e y ɪ ʏ ø ɛ ɛː œ ə a aː ʊ u o ɔ aɪ aʊ ɔɪ
gitksan	Gitksan	gitx1241	Tsimshian	North America	55.09	-128.08	39	30	9	0	0	0	5	3.3333333333333335	p t kʲ kʷ q ʔ ts pʼ tʼ kʼʲ kʼʷ qʼ tsʼ tɬʼ m n s xʲ xʷ χ h ɬ j w l ˀm ˀn ˀl ˀj ˀw iː i eː ə a aː oː u uː
goemai	Goemai	goem1240	Afro-Asiatic	Africa	8.74455	9.72453	39	28	11	0	0	0	7	2.5454545454545454	p pʰ b t tʰ d k kʰ g ɓ ɗ f fʰ v s sʰ z ʃ ʃʰ ʒ h m n ŋ l r w j iː i eː ə a aː ʉː uː u oː ɔː
goizuetabasque	Goizueta Basque	guip1235	Basque	Eurasia			33	23	10	0	5	0	0	2.3	p t c k b d g f s̻ s̺ ʃ x ts̻ ts̺ tʃ m n ɲ l ʎ ɾ r j i e a o u ai̯ ei̯ oi̯ au̯ eu̯
greekthracexoraxaneromane	Greek Thrace Xoraxane Romane	balk1252	Indo-European	Eurasia	42.67	21.17	35	24	11	0	4	0	0	2.1818181818181817	p pʰ b t tʰ d k kʰ g tʃ tʃʰ dʒ f v s z ʃ ʒ χ m n ɾ j l i e u o a ei̯ ai̯ oi̯ ui̯ ɯ y
hanoivietnamese	Hanoi Vietnamese	viet1252	Austroasiatic	Eurasia	20.681188	105.774071	35	23	12	0	3	0	0	1.9166666666666667	p ɓ t tʰ ɗ tɕ k ʔ m n ɲ ŋ f v s z x ɣ h w j l r i e ɛ a ɔ ɤ o ɯ u iə ɯə uə
hausa	Hausa	haus1257	Afro-Asiatic	Africa	11.1513	8.7804	42	32	10	0	0	0	5	3.2	b t d tʃ dʒ kʲ gʲ k g kʷ gʷ ʔ ɓ tsʼ ɗ tʃʼ ʔʲ kʼʲ kʼ kʼʷ m n ɸ s z ʃ h r ɽ w j l i e a o u iː eː aː oː uː
hebrew	Hebrew	hebr1245	Afro-Asiatic	Eurasia	31.1056	35.0179	30	25	5	0	0	0	0	5.0	p b t d k g ʔ m n r f v s z ʃ ʒ χ ħ h j ʕ l ts tʃ dʒ i e a o u
hindi	Hindi	hind1269	Indo-European	Eurasia	25.0	77.0	85	64	21	0	0	29	0	3.0476190476190474	p b pʰ bʱ t̪ d̪ t̪ʰ d̪ʱ ʈ ɖ ʈʰ ɖʱ k g kʰ gʱ tʃ dʒ tʃʰ dʒʱ m n ŋ ɾ ɽ ɽʱ f s z ʃ h ʋ j l pː bː pʰː t̪ː t̪ʰː d̪ː dʱː tʃː ʈː ɖː ʈʲʰː ɖʱː kː gː kʰː gʱː dʒː tʃʰː dʒʱː mː nː ŋː r fː sː zː ʃː ʋː jː lː i ɪ e ɛ æ ə ɑ ɔ o ʊ u ĩ ɪ̃ ẽ ɛ̃ ɑ̃ ɔ̃ ə̃ õ ʊ̃ ũ
hungarian	Hungarian	hung1274	Uralic	Eurasia	46.9068585714	19.6555271429	68	50	18	0	0	25	11	2.7777777777777777	p b t d k g ts dz tʃ dʒ cç ɟʝ m n ɲ f v s z ʃ ʒ h r j l pː bː tː dː kː gː tsː dzː tʃː dʒː cçː ɟʝː mː nː ɲː fː vː sː zː ʃː ʒː hː rː jː lː iː i yː y øː ø eː eˑ ɛ uː u oː oˑ o ɑ aː ɑː ɛː
ibibio	Ibibio	ibib1240	Atlantic-Congo	Africa	5.15279	7.86688	31	17	14	0	0	4	7	1.2142857142857142	b t̪ d k kp m n ɲ ŋ f s j w nː mː ɲː ŋː i e a ɔ ʌ o u aː eː ɔː oː ʌː uː iː
igbo	Igbo	nucl1417	Atlantic-Congo	Africa	4.62705	7.23441	38	27	11	0	0	0	0	2.4545454545454546	p b t d k g kp gb m n ɲ ŋ f s z ʃ ɣ ɦ tʃ dʒ ɹ j w l kʷ gʷ ŋʷ i i̙ e a u u̙ o o̙ ɪ ʊ ɔ
ikaigbo	Ika Igbo	ikaa1238	Atlantic-Congo	Africa	6.36423	6.31058	47	29	18	0	0	0	0	1.6111111111111112	p b t d k g kp gb kʷ gʷ m n ɲ ŋ ŋʷ tʃ dʒ f v s z ʃ ʒ ɣ ɦ ɻ j w l i ĩ ɪ ɪ̃ e ẽ ɛ ɛ̃ a ã u ũ ʊ ʊ̃ o õ ɔ ɔ̃
indonesian	Indonesian	indo1316	Austronesian	Papunesia	-7.33458	109.716	31	22	9	0	3	0	0	2.4444444444444446	p b t̪ d tʃ dʒ k g ʔ m n ɲ ŋ r f s z ʃ h w j l i e a u o ə ai̯ au̯ oi̯
