Glottocode	LAPSyD	LAPSyD_Var	JIPA	JIPA_Var	UPSID	UPSID_Var	PH-UZ-GM_	PH-UZ-GM_Var
amha1245	1	amharic	1	amharic_amha1245	1	amha1245-219	1	amha1245-2156
stan1318	1	arabic	0		0		1	stan1318-2157
assa1263	1	assamese	1	assamese_assa1263	0		1	assa1263-2159
nort2697	1	azerbaijani	1	azerbaijaninorthern_nort2697	1	nort2697-236	0	
bard1255	1	bardi	1	bardi_bard1255	1	bard1255-245	1	bard1255-2160
bemb1257	1	bemba	0		0		1	bemb1257-1188
beng1280	1	bengalibangladeshistandard	1	bengali_beng1280	1	beng1280-250	1	beng1280-2162
stan1293	2	britishenglishreceivedpronunciation liverpoolenglish	1	englishstandardsouthernbritish_stan1293	0		6	stan1293-2175 stan1293-2176 stan1293-2177 stan1293-2178 stan1293-2179 stan1293-2180
bulg1262	1	bulgarian	1	bulgarian_bulg1262	1	bulg1262-265	1	bulg1262-2163
nucl1310	1	burmese	1	burmese_nucl1310	1	nucl1310-476	0	
stan1289	1	catalan	1	catalaneastern_stan1289	0		1	stan1289-1138
east2379	1	centralarrernte	0		1	east2379-201	1	east2379-2158
cent2092	1	centralsama	0		0		1	cent2092-2208
chic1270	1	chikasaw	0		0		1	chic1270-1230
yuec1235	1	chinesehongkongcantonese	0		1	yuec1235-642	1	yuec1235-2166
coco1260	1	cocosmalay	0		0		1	coco1260-2222
croa1245	1	croatian	0		0		1	croa1245-1139
czec1258	1	czech	1	czech_czec1258	0		1	czec1258-1140
dani1285	1	danish	0		0		1	dani1285-2167
dari1249	2	dariafghanpersianformal dariafghanpersianinformal	0		0		0	
dutc1256	1	dutch	1	dutch_dutc1256	0		5	dutc1256-1050 dutc1256-2169 dutc1256-2170 dutc1256-2173 dutc1256-2174
egaa1242	1	ega	0		0		1	egaa1242-1233
ersu1241	1	ersu	0		0		1	ersu1241-2199
esto1258	1	standardestonian	0		0		1	esto1258-2181
port1283	1	europeanportuguese	0		0		1	port1283-2206
stan1290	1	french	1	french_stan1290	1	stan1290-331	1	stan1290-2182
gali1258	1	galician	0		0		1	gali1258-1141
gayo1244	1	gayo	0		0		1	gayo1244-1052
stan1295	1	northgerman	1	german_stan1295	1	stan1295-304	1	stan1295-2184
viet1252	1	hanoivietnamese	1	vietnamese_viet1252	1	viet1252-605	0	
haus1257	1	hausa	1	hausa_haus1257	1	haus1257-351	1	haus1257-2188
