Glottocode	DatasetA	VarietyA	SoundsA	ConsonantsA	VowelsA	DatasetB	VarietyB	SoundsB	ConsonantsB	VowelsB	StrictSimilarity	AverageSimilarity	InventoryA	InventoryB
amha1245	jipa	amharic	73	66	7	lapsyd	amharic_amha1245	39	32	7	0.53	0.71	p b t d k g tʃ dʒ bʷ kʷ gʷ m n ɲ ŋ mʷ f s z ʃ ʒ h fʷ r j w l pʼ tʼ kʼ tʃʼ pʼʷ kʼʷ tʼʷ hʷ sʼ bː tː dː tʃː dʒː kː gː bʷː kʷː gʷː mː nː ɲː ŋː mʷː fː sː zː ʃː ʒː fʷː rː wː jː lː pʼː tʼː tʃʼː kʼʷː sʷː i e ə a u o ɨ	a o n w ɨ kʷ d gʷ tʃ e h m t mʷ sʼ i f ʃ l pʼʷ ɲ kʼʷ g dʒ pʼ b k hʷ j s kʼ tʃʼ tʼ u p ə fʷ r tʼʷ
amha1245	jipa	amharic	73	66	7	upsid	amha1245-219	37	30	7	0.43	0.64	p b t d k g tʃ dʒ bʷ kʷ gʷ m n ɲ ŋ mʷ f s z ʃ ʒ h fʷ r j w l pʼ tʼ kʼ tʃʼ pʼʷ kʼʷ tʼʷ hʷ sʼ bː tː dː tʃː dʒː kː gː bʷː kʷː gʷː mː nː ɲː ŋː mʷː fː sː zː ʃː ʒː fʷː rː wː jː lː pʼː tʼː tʃʼː kʼʷː sʷː i e ə a u o ɨ	a b d dʒ e̞ ə f g gʷ h hʷ i ɨ j k kʷ kʼʷ kʼ l m n ɲ o̞ p pʼ ɾ s sʷ ʃ t tʃ tʃʼ tʼ u w z ʒ
amha1245	jipa	amharic	73	66	7	phoible	amha1245-2156	68	61	7	0.91	0.93	p b t d k g tʃ dʒ bʷ kʷ gʷ m n ɲ ŋ mʷ f s z ʃ ʒ h fʷ r j w l pʼ tʼ kʼ tʃʼ pʼʷ kʼʷ tʼʷ hʷ sʼ bː tː dː tʃː dʒː kː gː bʷː kʷː gʷː mː nː ɲː ŋː mʷː fː sː zː ʃː ʒː fʷː rː wː jː lː pʼː tʼː tʃʼː kʼʷː sʷː i e ə a u o ɨ	a b bː bʷ bʷː d dː dʒ dʒː e ə f fː fʷ fʷː g gː gʷ gʷː h hː i ɨ j jː k kː kʷ kʷː kʼʷ kʼʷː l lː m mː mʷ mʷː n nː ɲ ŋ ŋː o p pʼʷ pʼ pʼː r rː s sː ʃ ʃː t tː tʃ tʃː tʃʼ tʃʼː tʼ tʼː u w wː z zː ʒ ʒː
amha1245	lapsyd	amharic_amha1245	39	32	7	upsid	amha1245-219	37	30	7	0.69	0.87	a o n w ɨ kʷ d gʷ tʃ e h m t mʷ sʼ i f ʃ l pʼʷ ɲ kʼʷ g dʒ pʼ b k hʷ j s kʼ tʃʼ tʼ u p ə fʷ r tʼʷ	a b d dʒ e̞ ə f g gʷ h hʷ i ɨ j k kʷ kʼʷ kʼ l m n ɲ o̞ p pʼ ɾ s sʷ ʃ t tʃ tʃʼ tʼ u w z ʒ
amha1245	lapsyd	amharic_amha1245	39	32	7	phoible	amha1245-2156	68	61	7	0.49	0.62	a o n w ɨ kʷ d gʷ tʃ e h m t mʷ sʼ i f ʃ l pʼʷ ɲ kʼʷ g dʒ pʼ b k hʷ j s kʼ tʃʼ tʼ u p ə fʷ r tʼʷ	a b bː bʷ bʷː d dː dʒ dʒː e ə f fː fʷ fʷː g gː gʷ gʷː h hː i ɨ j jː k kː kʷ kʷː kʼʷ kʼʷː l lː m mː mʷ mʷː n nː ɲ ŋ ŋː o p pʼʷ pʼ pʼː r rː s sː ʃ ʃː t tː tʃ tʃː tʃʼ tʃʼː tʼ tʼː u w wː z zː ʒ ʒː
amha1245	upsid	amha1245-219	37	30	7	phoible	amha1245-2156	68	61	7	0.42	0.57	a b d dʒ e̞ ə f g gʷ h hʷ i ɨ j k kʷ kʼʷ kʼ l m n ɲ o̞ p pʼ ɾ s sʷ ʃ t tʃ tʃʼ tʼ u w z ʒ	a b bː bʷ bʷː d dː dʒ dʒː e ə f fː fʷ fʷː g gː gʷ gʷː h hː i ɨ j jː k kː kʷ kʷː kʼʷ kʼʷː l lː m mː mʷ mʷː n nː ɲ ŋ ŋː o p pʼʷ pʼ pʼː r rː s sː ʃ ʃː t tː tʃ tʃː tʃʼ tʃʼː tʼ tʼː u w wː z zː ʒ ʒː
stan1318	jipa	arabic	37	29	8	phoible	stan1318-2157	37	29	8	0.51	0.83	b t d k q ʔ m n r f θ ð s z ʃ x ɣ ħ ʕ h j w l tˤ dˤ sˤ ðˤ lˤ dʒ i a aː u iː au au̯ u̯ː	a aː ai au b d̪ ð dʒ d̙ˤ ð̙ˤ f ɣ h ħ i i̯ː j kʰ l lˤ m n̪ q r s s̙ˤ ʃ t̪ʰ t̪̙ˤ u u̯ː w xʀ̥ z ʔ ʕ̙ θ
assa1263	jipa	assamese	31	23	8	lapsyd	assamese_assa1263	38	23	15	0.53	0.77	p b pʰ bʰ t d tʰ dʰ k g kʰ gʰ m n ŋ s z x h ɹ j w l i e ɛ ɑ ɔ o ʊ u	ɛ̃ n i ɹ ŋ ẽ s gʱ g ɔ j x bʱ k ã z β̞ kʰ ɒ u ĩ b ũ d õ ɦ ɒ̃ m dʱ p o tʰ ɛ e l a pʰ t
assa1263	jipa	assamese	31	23	8	phoible	assa1263-2159	33	23	10	0.73	0.88	p b pʰ bʰ t d tʰ dʰ k g kʰ gʰ m n ŋ s z x h ɹ j w l i e ɛ ɑ ɔ o ʊ u	ɑ ɑ̃ b bʱ d dʱ ə ɛ g gʱ h i j k kʰ l m n ŋ o ɔ p pʰ ɹ s t tʰ u ʊ ʊ̃ w x z
assa1263	lapsyd	assamese_assa1263	38	23	15	phoible	assa1263-2159	33	23	10	0.58	0.78	ɛ̃ n i ɹ ŋ ẽ s gʱ g ɔ j x bʱ k ã z β̞ kʰ ɒ u ĩ b ũ d õ ɦ ɒ̃ m dʱ p o tʰ ɛ e l a pʰ t	ɑ ɑ̃ b bʱ d dʱ ə ɛ g gʱ h i j k kʰ l m n ŋ o ɔ p pʰ ɹ s t tʰ u ʊ ʊ̃ w x z
nort2697	jipa	azerbaijani	35	26	9	lapsyd	azerbaijaninorthern_nort2697	33	24	9	0.51	0.73	p b t d c ɟ k g ts dz tʃ dʒ m n ɾ f v s z ʃ ʒ x ɣ h l j i y u ɯ e œ o æ ɑ	m dʒ ɪ ʏ l ʒ ɛ ɑ p o x z ɤ g ɾ ʊ v j tʃ b t̪ s ʃ a̟ c h ø ɟ k n̪ ɣ d̪ f
nort2697	jipa	azerbaijani	35	26	9	upsid	nort2697-236	33	24	9	0.51	0.73	p b t d c ɟ k g ts dz tʃ dʒ m n ɾ f v s z ʃ ʒ x ɣ h l j i y u ɯ e œ o æ ɑ	a̟ ɑ b c d̪ dʒ ɛ ɤ̟ f g ɣ h ɪ j ɟ k l m n̪ o ø p ɾ s ʃ t̪ tʃ ʊ v x ʏ z ʒ
nort2697	lapsyd	azerbaijaninorthern_nort2697	33	24	9	upsid	nort2697-236	33	24	9	0.94	0.99	m dʒ ɪ ʏ l ʒ ɛ ɑ p o x z ɤ g ɾ ʊ v j tʃ b t̪ s ʃ a̟ c h ø ɟ k n̪ ɣ d̪ f	a̟ ɑ b c d̪ dʒ ɛ ɤ̟ f g ɣ h ɪ j ɟ k l m n̪ o ø p ɾ s ʃ t̪ tʃ ʊ v x ʏ z ʒ
bard1255	jipa	bardi	24	17	7	lapsyd	bardi_bard1255	24	17	7	1.00	1.00	p t ʈ c k m n ɳ ɲ ŋ l ɭ ʎ r ɻ j w i iː a aː o u uː	i ʎ u t aː ɳ o ŋ j p ʈ n uː ɲ iː l m ɻ k w r a ɭ c
bard1255	jipa	bardi	24	17	7	upsid	bard1255-245	24	17	7	0.71	0.86	p t ʈ c k m n ɳ ɲ ŋ l ɭ ʎ r ɻ j w i iː a aː o u uː	a aː i iː j k l l̠ ɭ m n n̠ ɳ ŋ ɔ p r ɻ t t̠ ʈ u uː w
