phoneme	dataset	dataset_occurrences	dataset_ratio	global_occurrences	global_ratio	dataset_inventory_ratio	global_inventory_ratio	dataset_occurrence_abs	dataset_occurrence_ratio
a	AA	193	0.0269	3047	0.0261	0.9948	0.8756	9	1.0
a	EA	188	0.0122	3047	0.0261	0.5193	0.8756	9	1.0
a	ER	391	0.0416	3047	0.0261	1.0	0.8756	9	1.0
a	PHOIBLE	799	0.024	3047	0.0261	0.8888	0.8756	9	1.0
a	RA	78	0.019	3047	0.0261	0.7959	0.8756	9	1.0
a	SAPHON	354	0.0392	3047	0.0261	0.9972	0.8756	9	1.0
a	UPSID	391	0.0281	3047	0.0261	0.8689	0.8756	9	1.0
a	jipa	118	0.0193	3047	0.0261	0.8027	0.8756	9	1.0
a	lapsyd	535	0.0293	3047	0.0261	0.9161	0.8756	9	1.0
ae	AA	0	0.0	16	0.0001	0.0	0.0046	4	0.4444
ae	EA	3	0.0002	16	0.0001	0.0083	0.0046	4	0.4444
ae	ER	0	0.0	16	0.0001	0.0	0.0046	4	0.4444
ae	PHOIBLE	5	0.0001	16	0.0001	0.0056	0.0046	4	0.4444
ae	RA	0	0.0	16	0.0001	0.0	0.0046	4	0.4444
ae	SAPHON	0	0.0	16	0.0001	0.0	0.0046	4	0.4444
ae	UPSID	0	0.0	16	0.0001	0.0	0.0046	4	0.4444
ae	jipa	1	0.0002	16	0.0001	0.0068	0.0046	4	0.4444
ae	lapsyd	7	0.0004	16	0.0001	0.012	0.0046	4	0.4444
ae̞	AA	0	0.0	4	0.0	0.0	0.0011	2	0.2222
ae̞	EA	0	0.0	4	0.0	0.0	0.0011	2	0.2222
ae̞	ER	0	0.0	4	0.0	0.0	0.0011	2	0.2222
ae̞	PHOIBLE	1	0.0	4	0.0	0.0011	0.0011	2	0.2222
ae̞	RA	0	0.0	4	0.0	0.0	0.0011	2	0.2222
ae̞	SAPHON	0	0.0	4	0.0	0.0	0.0011	2	0.2222
ae̞	UPSID	3	0.0002	4	0.0	0.0067	0.0011	2	0.2222
ae̞	jipa	0	0.0	4	0.0	0.0	0.0011	2	0.2222
ae̞	lapsyd	0	0.0	4	0.0	0.0	0.0011	2	0.2222
ae̞ˤ	AA	0	0.0	1	0.0	0.0	0.0003	1	0.1111
ae̞ˤ	EA	0	0.0	1	0.0	0.0	0.0003	1	0.1111
ae̞ˤ	ER	0	0.0	1	0.0	0.0	0.0003	1	0.1111
ae̞ˤ	PHOIBLE	0	0.0	1	0.0	0.0	0.0003	1	0.1111
ae̞ˤ	RA	0	0.0	1	0.0	0.0	0.0003	1	0.1111
ae̞ˤ	SAPHON	0	0.0	1	0.0	0.0	0.0003	1	0.1111
ae̞ˤ	UPSID	1	0.0001	1	0.0	0.0022	0.0003	1	0.1111
ae̞ˤ	jipa	0	0.0	1	0.0	0.0	0.0003	1	0.1111
ae̞ˤ	lapsyd	0	0.0	1	0.0	0.0	0.0003	1	0.1111
ae̯	AA	0	0.0	4	0.0	0.0	0.0011	3	0.3333
