Phoneme,Dataset,Dataset Pair,Absolute Count (DatasetA),Absolute Count (DatasetB),Relative Count (DatasetA),Relative Count (DatasetB),Total Inventories,Percent (DatasetA),Percent (DatasetB)
a,aa,aa-jipa,0,6,0.0000,0.0274,6,0.0000,1.0000
a,aa,aa-lapsyd,0,27,0.0000,0.0297,27,0.0000,1.0000
a,aa,aa-phoible,0,47,0.0000,0.0286,47,0.0000,1.0000
a,aa,aa-upsid,0,34,0.0000,0.0285,34,0.0000,1.0000
a,ea,ea-jipa,0,28,0.0000,0.0115,57,0.0000,0.4912
a,ea,ea-lapsyd,0,38,0.0000,0.0098,95,0.0000,0.4000
a,ea,ea-phoible,0,52,0.0000,0.0109,121,0.0000,0.4298
a,ea,ea-ra,0,24,0.0000,0.0180,32,0.0000,0.7500
a,ea,ea-upsid,0,34,0.0000,0.0103,82,0.0000,0.4146
a,er,er-jipa,0,4,0.0000,0.0351,4,0.0000,1.0000
a,er,er-lapsyd,0,61,0.0000,0.0446,61,0.0000,1.0000
a,er,er-phoible,0,12,0.0000,0.0353,12,0.0000,1.0000
a,er,er-upsid,0,26,0.0000,0.0442,26,0.0000,1.0000
a,jipa,jipa-aa,6,0,0.0245,0.0000,6,1.0000,0.0000
a,jipa,jipa-ea,41,0,0.0159,0.0000,57,0.7193,0.0000
a,jipa,jipa-er,2,0,0.0159,0.0000,4,0.5000,0.0000
a,jipa,jipa-lapsyd,45,0,0.0196,0.0000,57,0.7895,0.0000
a,jipa,jipa-phoible,83,0,0.0177,0.0000,111,0.7477,0.0000
a,jipa,jipa-ra,4,0,0.0110,0.0000,6,0.6667,0.0000
a,jipa,jipa-saphon,5,0,0.0316,0.0000,6,0.8333,0.0000
a,jipa,jipa-upsid,31,0,0.0179,0.0000,38,0.8158,0.0000
a,lapsyd,lapsyd-aa,27,0,0.0282,0.0000,27,1.0000,0.0000
a,lapsyd,lapsyd-ea,82,0,0.0228,0.0000,95,0.8632,0.0000
a,lapsyd,lapsyd-er,57,0,0.0405,0.0000,61,0.9344,0.0000
a,lapsyd,lapsyd-jipa,0,50,0.0000,0.0251,57,0.0000,0.8772
a,lapsyd,lapsyd-phoible,124,0,0.0263,0.0000,139,0.8921,0.0000
a,lapsyd,lapsyd-ra,22,0,0.0217,0.0000,26,0.8462,0.0000
a,lapsyd,lapsyd-saphon,101,0,0.0344,0.0000,107,0.9439,0.0000
a,lapsyd,lapsyd-upsid,271,0,0.0287,0.0000,303,0.8944,0.0000
a,phoible,phoible-aa,43,0,0.0238,0.0000,47,0.9149,0.0000
a,phoible,phoible-ea,68,0,0.0145,0.0000,121,0.5620,0.0000
a,phoible,phoible-er,8,0,0.0261,0.0000,12,0.6667,0.0000
a,phoible,phoible-jipa,0,72,0.0000,0.0160,111,0.0000,0.6486
a,phoible,phoible-lapsyd,0,110,0.0000,0.0209,139,0.0000,0.7914
a,phoible,phoible-ra,9,0,0.0129,0.0000,16,0.5625,0.0000
a,phoible,phoible-saphon,41,0,0.0363,0.0000,42,0.9762,0.0000
a,phoible,phoible-upsid,0,50,0.0000,0.0197,61,0.0000,0.8197
a,ra,ra-ea,26,0,0.0181,0.0000,32,0.8125,0.0000
a,ra,ra-jipa,0,6,0.0000,0.0202,6,0.0000,1.0000
a,ra,ra-lapsyd,0,21,0.0000,0.0189,26,0.0000,0.8077
a,ra,ra-phoible,0,15,0.0000,0.0209,16,0.0000,0.9375
a,ra,ra-upsid,0,13,0.0000,0.0182,16,0.0000,0.8125
a,saphon,saphon-jipa,0,6,0.0000,0.0392,6,0.0000,1.0000
a,saphon,saphon-lapsyd,0,106,0.0000,0.0372,107,0.0000,0.9907
a,saphon,saphon-phoible,0,42,0.0000,0.0379,42,0.0000,1.0000
a,saphon,saphon-upsid,0,63,0.0000,0.0376,63,0.0000,1.0000
a,upsid,upsid-aa,33,0,0.0286,0.0000,34,0.9706,0.0000
a,upsid,upsid-ea,55,0,0.0179,0.0000,82,0.6707,0.0000
a,upsid,upsid-er,25,0,0.0439,0.0000,26,0.9615,0.0000
a,upsid,upsid-jipa,0,28,0.0000,0.0202,38,0.0000,0.7368
a,upsid,upsid-lapsyd,0,260,0.0000,0.0296,303,0.0000,0.8581
a,upsid,upsid-phoible,50,0,0.0248,0.0000,61,0.8197,0.0000
a,upsid,upsid-ra,11,0,0.0189,0.0000,16,0.6875,0.0000
a,upsid,upsid-saphon,57,0,0.0349,0.0000,63,0.9048,0.0000
ae,ea,ea-lapsyd,0,1,0.0000,0.0003,95,0.0000,0.0105
ae,ea,ea-ra,0,1,0.0000,0.0007,32,0.0000,0.0312
ae,jipa,jipa-ea,1,0,0.0004,0.0000,57,0.0175,0.0000
ae,jipa,jipa-upsid,1,0,0.0006,0.0000,38,0.0263,0.0000
ae,lapsyd,lapsyd-saphon,1,0,0.0003,0.0000,107,0.0093,0.0000
ae,lapsyd,lapsyd-upsid,5,0,0.0005,0.0000,303,0.0165,0.0000
ae,phoible,phoible-ea,1,0,0.0002,0.0000,121,0.0083,0.0000
ae,phoible,phoible-jipa,0,1,0.0000,0.0002,111,0.0000,0.0090
ae,phoible,phoible-lapsyd,0,1,0.0000,0.0002,139,0.0000,0.0072
ae,phoible,phoible-ra,1,0,0.0014,0.0000,16,0.0625,0.0000
ae,phoible,phoible-upsid,0,1,0.0000,0.0004,61,0.0000,0.0164
ae̞,upsid,upsid-lapsyd,0,2,0.0000,0.0002,303,0.0000,0.0066
ae̯,ea,ea-phoible,0,1,0.0000,0.0002,121,0.0000,0.0083
ae̯,jipa,jipa-ea,1,0,0.0004,0.0000,57,0.0175,0.0000
