,JIPA,LAPSyD,UPSID,PH,UZ,GM,AA,RA,SAPHON,SPA,EA,ER
JIPA,144,56,38,34,52,6,5,6,6,26,48,3
LAPSyD,0.3888888888888889,584,303,60,32,33,24,25,97,122,77,46
UPSID,0.2638888888888889,0.6733333333333333,450,11,26,20,31,15,59,158,61,22
PH,0.2361111111111111,0.15915119363395225,0.029177718832891247,377,1,11,4,11,36,7,37,8
UZ,0.8387096774193549,0.5161290322580645,0.41935483870967744,0.016129032258064516,62,1,2,5,0,20,31,3
GM,0.041666666666666664,0.07990314769975787,0.048426150121065374,0.029177718832891247,0.016129032258064516,413,34,0,0,6,4,0
AA,0.034722222222222224,0.12972972972972974,0.16756756756756758,0.021621621621621623,0.03225806451612903,0.1837837837837838,185,0,0,14,0,0
RA,0.06315789473684211,0.2631578947368421,0.15789473684210525,0.11578947368421053,0.08064516129032258,0.0,0.0,95,0,10,30,0
SAPHON,0.041666666666666664,0.2948328267477204,0.17933130699088146,0.1094224924012158,0.0,0.0,0.0,0.0,329,20,0,0
SPA,0.18055555555555555,0.6559139784946236,0.8494623655913979,0.03763440860215054,0.3225806451612903,0.03225806451612903,0.07567567567567568,0.10526315789473684,0.10752688172043011,186,43,6
EA,0.3333333333333333,0.27017543859649124,0.21403508771929824,0.12982456140350876,0.5,0.014035087719298246,0.0,0.3157894736842105,0.0,0.23118279569892472,285,0
ER,0.020833333333333332,0.13569321533923304,0.06489675516224189,0.02359882005899705,0.04838709677419355,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,339
