Parameter,Dataset1,Dataset2,P,R,Delta,Strict,Approx
Sounds,JIPA,LAPSyD,0.8443824863648065,2.9354795544243405e-16,6.580357142857143,0.639661128888294,0.8011560482051737
Consonants,JIPA,LAPSyD,0.8394085341918053,6.417742264230036e-16,5.196428571428571,0.6478909252409666,0.8064435951044453
Vowels,JIPA,LAPSyD,0.8739975507343289,1.4616798320940887e-18,1.7410714285714286,0.6895014825732236,0.8216600337742699
Sounds,JIPA,UPSID,0.48615604583290706,0.0019710629728519856,12.31578947368421,0.42256349195522463,0.6765262596077325
Consonants,JIPA,UPSID,0.6428574562952284,1.3477548022241e-05,8.81578947368421,0.49873430514976536,0.7234560131100294
Vowels,JIPA,UPSID,0.6308552175737053,2.1775118327385238e-05,4.5,0.3229257605192485,0.6093504532359941
Sounds,JIPA,PHOIBLE,0.8428523842357355,7.294844619767394e-25,4.670454545454546,0.7133836190935966,0.8643279574389519
Consonants,JIPA,PHOIBLE,0.7970885429641662,1.5481138903631033e-20,2.6875,0.7409806778865788,0.8759091998309683
Vowels,JIPA,PHOIBLE,0.8538717262348369,4.085260140661373e-26,2.846590909090909,0.7154406254566984,0.8580238981404887
Sounds,JIPA,AA,0.8207826816681233,0.08858700531354381,4.2,0.7115446418890284,0.7898612320984348
Consonants,JIPA,AA,0.9746794344808964,0.004818230468198537,1.8,0.6964606227106227,0.7650964727306336
Vowels,JIPA,AA,0.051298917604257706,0.9347128481082341,2.8,0.7606666666666667,0.8485512265512265
Sounds,JIPA,RA,0.6571428571428573,0.15617492711370237,16.666666666666668,0.3882620921471096,0.6802676071093713
Consonants,JIPA,RA,0.42647058823529416,0.39907674791369824,13.666666666666666,0.37236995495576813,0.6875116630094644
Vowels,JIPA,RA,0.5428571428571429,0.26570262390670557,3.6666666666666665,0.4433783168128519,0.6948267511330399
Sounds,JIPA,SAPHON,0.9710083124552245,0.0012485929031976768,1.1666666666666667,0.8311096989272607,0.9162496142956805
Consonants,JIPA,SAPHON,0.9856107606091623,0.0003090856678496699,0.5,0.9165660225442834,0.9441023276899693
Vowels,JIPA,SAPHON,0.895622151039798,0.01577351850974053,1.0,0.6833333333333333,0.8546957671957672
Sounds,JIPA,EA,0.7073442643395782,1.9034519465251405e-08,8.625,0.5574058300827549,0.7748813092375324
Consonants,JIPA,EA,0.7502587861856415,8.314642376488929e-10,5.375,0.5916135903848404,0.7988772217247854
Vowels,JIPA,EA,0.8288867253753557,3.4793306405453855e-13,4.416666666666667,0.5297280241212533,0.7608512633532569
Sounds,JIPA,ER,0.5,0.6666666666666667,3.3333333333333335,0.6333117887850833,0.7942104795365664
Consonants,JIPA,ER,1.0,0.0,2.6666666666666665,0.647953216374269,0.8074389686430128
Vowels,JIPA,ER,0.5,0.6666666666666667,0.6666666666666666,0.7575757575757576,0.8337549603174603
Sounds,LAPSyD,UPSID,0.8481610082485574,4.7401186755754895e-85,3.633663366336634,0.6687096835640135,0.8299942551277183
Consonants,LAPSyD,UPSID,0.8965849590924511,1.733944376885856e-108,1.6732673267326732,0.7698281754724916,0.8742034816791929
Vowels,LAPSyD,UPSID,0.7282267860811497,2.5455411308087326e-51,2.2706270627062706,0.5005890326307787,0.7296257481661949
Sounds,LAPSyD,PHOIBLE,0.8379219205343189,4.411592876064639e-33,6.016528925619835,0.6351745127767747,0.7929959187777764
Consonants,LAPSyD,PHOIBLE,0.8736454194994188,4.902043784386953e-39,4.202479338842975,0.6492621963209332,0.8092054746896183
Vowels,LAPSyD,PHOIBLE,0.6951763535637014,9.048611462176285e-19,2.822314049586777,0.6683638996623258,0.800103240739604
Sounds,LAPSyD,AA,0.5525396163901635,0.005111547383373208,5.083333333333333,0.7098790584442122,0.8100806458664763
Consonants,LAPSyD,AA,0.7226407834302329,6.655355887855164e-05,2.7291666666666665,0.7447593048788763,0.8330582514469802
Vowels,LAPSyD,AA,0.5798333505654,0.0029799254778004177,2.6875,0.6756824678520903,0.7847485269360269
Sounds,LAPSyD,RA,0.7979136849404228,1.772046834944767e-06,5.94,0.4603023599674077,0.7088199508663264
Consonants,LAPSyD,RA,0.7394928898637813,2.403106082347933e-05,4.16,0.4906581808797836,0.7297643787296023
Vowels,LAPSyD,RA,0.5499437374859316,0.004399552740564987,3.38,0.42020236757781515,0.6607041933950204
Sounds,LAPSyD,SAPHON,0.7332375309768243,1.3477331461869717e-17,3.056701030927835,0.6429339283856089,0.8110479094756091
Consonants,LAPSyD,SAPHON,0.8903725432388824,3.114375512047642e-34,1.1804123711340206,0.6705339974530778,0.830884904004659
Vowels,LAPSyD,SAPHON,0.7481629552235175,1.2891617875786336e-18,2.2371134020618557,0.6251570283476907,0.7778851640100033
Sounds,LAPSyD,EA,0.86655730373656,2.4317445619797277e-24,4.279220779220779,0.499892320205761,0.752025309148581
Consonants,LAPSyD,EA,0.8991789350358693,1.222315959791954e-28,2.331168831168831,0.5697833386764684,0.7879165972159661
Vowels,LAPSyD,EA,0.7976546972646926,3.872184532539411e-18,3.207792207792208,0.39653125008702533,0.6936356915008624
Sounds,LAPSyD,ER,0.8250676480373785,1.7709722051015105e-12,1.8043478260869565,0.5038895825134608,0.7754871416870409
Consonants,LAPSyD,ER,0.7747146601153002,2.6513736254738485e-10,1.3478260869565217,0.4882576831689084,0.7665440880638431
